Bài 5
いきます (行きます)	đi
きます 来ます	đến
かえります（帰ります）	về
がっこう (学校)	trường học
スーパー	siêu thị
えき	nhà ga
ひこうき (飛行機)	máy bay
でんしゃ (電車)	tàu điện
しんかんせん（新幹線）	tàu Shinkansen
バス	xe buýt
タクシー	tắc-xi
じてんしゃ (自転車)	xe đạp
あるいて	đi bộ
ひと	người
ともだち (友達)	bạn bè
かれ	anh ấy
かのじょ (彼女)	chị ấy, bạn gái
かぞく (家族)	gia đình
ひとりで	một mình
せんしゅう (先週)	tuần trước
こんしゅう (今週)	tuần này
らいしゅう (来週)	tuần sau
せんげつ (先月)	tháng trước
こんげつ (今月)	tháng này
らいげつ (来月)	tháng sau
きょねん (去年)	năm ngoái
ことし (今年)	năm nay
らいねん (来年)	năm sau
なんがつ (何月)	tháng mấy
ついたち (一日)	mùng 1
ふつか (二日)	ngày mùng hai
みっか (三日)	mùng 3
よっか (四日)	ngày mồng 4, 4 ngày
いつか (五日)	ngày mùng 5, 5 ngày
むいか (六日)	ngày mồng 6, 6 ngày
なのか (七日)	ngày mồng 7, 7 ngày
ようか (八日)	ngày mồng 8, 8 ngày
とおか (十日)	ngày mồng 10, 10 ngày
じゅうよっか, 十四日	ngày 14
いつ	bao giờ, khi nào
なんにち
何日	ngày mấy
たんじょうび (誕生日)	ngày sinh nhật
ふつう (普通)	tàu thường
きゅうこう (急行)	tàu tốc hành
とっきゅう (特急)	tàu tốc hành đặc biệt
つぎの	tiếp theo
どういたしまして	không có gì
ばんせん(番線)	sân ga số,tuyến số
/////////////////////////////////////het bai 5
Bai 6
たべます (食べます)	ăn
のみます（飲みます）	uống
すいます（吸います）	hút
みます（見ます）	xem
ききます（聞きます）	nghe
よみます（読みます）	đọc
かきます（書きます）	viết
かいます（買います）	mua
しゃしんをとります	chụp ảnh
します	làm, chơi
あいます（会います）	gặp gỡ
ごはん (ご飯)	cơm, bữa cơm
あさごはん (朝ご飯)	bữa ăn sáng
ひるごはん (昼ご飯)	bữa trưa
ばんごはん （晩ご飯）	cơm tối
パン	bánh mì
たまご (卵)	trứng
にく	thịt
さかな	cá
やさい (野菜)	Rau, rau sống
くだもの (果物)	hoa quả, trái cây
みず	nước
おちゃ (お茶)	trà
こうちゃ (紅茶)	hồng trà
ぎゅうにゅう (牛乳)	sữa bò
ビール	bia
おさけ (お酒)	rượu, rượu sakê
ビデオ	video, băng video, đầu video
えいが (映画)	phim
てがみ (手紙)	thư
レポート	báo cáo
しゃしん (写真)	ảnh
みせ	cửa hàng, tiệm
レストラン	nhà hàng
にわ	vườn
しゅくだい (宿題)	bài tập về nhà
テニス	quần vợt
サッカー	bóng đá
おはなみ
（お花見）	việc ngắm hoa anh đào (～を します: ngắm hoa anh đào)
なに	cái gì
いっしょに (一緒に)	cùng nhau
ちょっと	một chút
いつも	luôn luôn, lúc nào cũng
ときどき	thỉnh thoảng, đôi khi
それから	sau đó
ええ	vâng/được (cách nói thân mật của「はい」)
いいですね	Được đấy nhỉ./ Hay quá.
